country_name,year,pm25_concentration,latitude,longitude
Afghanistan,2019,120.0,34.53581,69.19051
Albania,2014,14.666666666666666,41.111,20.0817
Albania,2015,16.25,41.111,20.0817
Albania,2016,17.666666666666668,41.111,20.0817
Albania,2017,14.0,41.111,20.0817
Albania,2019,10.0,41.111,20.0817
Algeria,2019,22.0,36.7558,3.03911
Argentina,2014,10.0,-34.56,-58.506
Argentina,2020,14.0,-34.56,-58.506
Argentina,2021,14.666666666666666,-34.56,-58.506
Australia,2010,16.8,-33.6482,115.352
Australia,2011,13.6,-33.6482,115.352
Australia,2012,15.571428571428571,-33.6482,115.352
Australia,2013,10.411764705882353,-33.6482,115.352
Australia,2014,7.3,-33.6482,115.352
Australia,2015,6.9375,-33.6482,115.352
Australia,2016,6.666666666666667,-33.6482,115.352
Australia,2017,7.333333333333333,-33.6482,115.352
Australia,2018,8.333333333333334,-33.6482,115.352
Australia,2019,7.377049180327869,-33.6482,115.352
Austria,2010,18.272727272727273,48.21333333,15.19722222
Austria,2013,15.787878787878787,48.21333333,15.19722222
Austria,2014,12.96551724137931,48.21333333,15.19722222
Austria,2015,13.71875,48.21333333,15.19722222
Austria,2016,12.606060606060606,48.21333333,15.19722222
Austria,2017,12.558823529411764,48.21333333,15.19722222
Austria,2018,13.515151515151516,48.21333333,15.19722222
Austria,2019,11.121212121212121,48.21333333,15.19722222
Austria,2020,9.921052631578947,48.21333333,15.19722222
Austria,2021,10.390243902439025,48.21333333,15.19722222
Bahamas,2018,5.0,25.06254,-77.34748
Bahamas,2019,4.0,25.06254,-77.34748
Bahrain,2012,54.6,26.204765,50.571119
Bahrain,2016,62.0,26.204765,50.571119
Bahrain,2017,63.0,26.204765,50.571119
Bahrain,2018,60.0,26.204765,50.571119
Bahrain,2019,43.666666666666664,26.204765,50.571119
Bangladesh,2010,92.5,23.79637,90.42461
Bangladesh,2011,101.5,23.79637,90.42461
Bangladesh,2012,101.0,23.79637,90.42461
Bangladesh,2013,76.125,23.79637,90.42461
Bangladesh,2014,81.22222222222223,23.79637,90.42461
Bangladesh,2015,78.11111111111111,23.79637,90.42461
Bangladesh,2016,69.0,23.79637,90.42461
Bangladesh,2017,54.666666666666664,23.79637,90.42461
Bangladesh,2018,71.875,23.79637,90.42461
Bangladesh,2019,86.0,23.79637,90.42461
Belarus,2020,30.0,53.1449683,29.2281209
Belgium,2010,16.772727272727273,50.833035,3.404508
Belgium,2013,14.244444444444444,50.833035,3.404508
Belgium,2014,12.0,50.833035,3.404508
Belgium,2015,12.609756097560975,50.833035,3.404508
Belgium,2016,12.571428571428571,50.833035,3.404508
Belgium,2017,12.285714285714286,50.833035,3.404508
Belgium,2018,12.857142857142858,50.833035,3.404508
Belgium,2019,11.181818181818182,50.833035,3.404508
Belgium,2020,9.454545454545455,50.833035,3.404508
Benin,2020,8.0,6.299147,2.332126
Bosnia and Herzegovina,2010,65.0,43.6616,18.9775
Bosnia and Herzegovina,2016,49.0,43.6616,18.9775
Bosnia and Herzegovina,2017,46.2,43.6616,18.9775
Bosnia and Herzegovina,2018,46.5,43.6616,18.9775
Bosnia and Herzegovina,2019,39.333333333333336,43.6616,18.9775
Bosnia and Herzegovina,2020,36.42857142857143,43.6616,18.9775
Bosnia and Herzegovina,2021,30.444444444444443,43.6616,18.9775
Brazil,2010,16.25,-25.568845,-49.382167
Brazil,2011,15.6,-25.568845,-49.382167
Brazil,2012,15.4,-25.568845,-49.382167
Brazil,2013,14.214285714285714,-25.568845,-49.382167
Brazil,2014,16.0,-25.568845,-49.382167
Brazil,2015,13.23076923076923,-25.568845,-49.382167
Brazil,2016,15.666666666666666,-25.568845,-49.382167
Brazil,2018,15.3,-25.568845,-49.382167
Brazil,2019,15.444444444444445,-25.568845,-49.382167
Bulgaria,2010,23.875,42.1465,25.8754
Bulgaria,2013,19.09090909090909,42.1465,25.8754
Bulgaria,2014,21.5,42.1465,25.8754
Bulgaria,2015,20.0,42.1465,25.8754
Bulgaria,2016,17.8,42.1465,25.8754
Bulgaria,2017,18.125,42.1465,25.8754
Bulgaria,2018,19.5,42.1465,25.8754
Bulgaria,2019,17.875,42.1465,25.8754
Bulgaria,2020,14.666666666666666,42.1465,25.8754
Bulgaria,2021,13.285714285714286,42.1465,25.8754
Bulgaria,2022,13.0,42.1465,25.8754
Cambodia,2019,24.2,13.743552,106.993592
Cambodia,2020,17.56,13.743552,106.993592
Cambodia,2021,20.04,13.743552,106.993592
Cameroon,2012,82.66666666666667,5.933300018,10.16670036
Canada,2013,6.882882882882883,42.912545,-82.416816
