_id,  Yr, Mn,    Date Excel,      Date,     CO2 [ppm],seasonally adjusted [ppm]. ,fit [ppm],  seasonally adjusted fit [ppm], CO2 filled [ppm], seasonally adjusted filled  [ppm], Sta
656ff6983f96ad5aaf969143,1958,1,21200,1958.0411,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99, MLO
656ff6983f96ad5aaf969144,1958,2,21231,1958.126,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99, MLO
656ff6983f96ad5aaf969145,1958,3,21259,1958.2027,315.71,314.44,316.19,314.91,315.71,314.44, MLO
656ff6983f96ad5aaf969146,1958,4,21290,1958.2877,317.45,315.16,317.3,314.99,317.45,315.16, MLO
656ff6983f96ad5aaf969147,1958,5,21320,1958.3699,317.51,314.69,317.89,315.06,317.51,314.69, MLO
656ff6983f96ad5aaf969148,1958,6,21351,1958.4548,-99.99,-99.99,317.27,315.14,317.27,315.14, MLO
656ff6983f96ad5aaf969149,1958,7,21381,1958.537,315.87,315.2,315.85,315.22,315.87,315.2, MLO
656ff6983f96ad5aaf96914a,1958,8,21412,1958.6219,314.93,316.22,313.97,315.29,314.93,316.22, MLO
656ff6983f96ad5aaf96914b,1958,9,21443,1958.7068,313.21,316.11,312.43,315.35,313.21,316.11, MLO
656ff6983f96ad5aaf96914c,1958,10,21473,1958.789,-99.99,-99.99,312.42,315.41,312.42,315.41, MLO
656ff6983f96ad5aaf96914d,1958,11,21504,1958.874,313.33,315.21,313.6,315.46,313.33,315.21, MLO
656ff6983f96ad5aaf96914e,1958,12,21534,1958.9562,314.67,315.44,314.76,315.51,314.67,315.44, MLO
656ff6983f96ad5aaf96914f,1959,1,21565,1959.0411,315.58,315.52,315.64,315.57,315.58,315.52, MLO
656ff6983f96ad5aaf969150,1959,2,21596,1959.126,316.49,315.84,316.29,315.63,316.49,315.84, MLO
656ff6983f96ad5aaf969151,1959,3,21624,1959.2027,316.65,315.37,316.98,315.69,316.65,315.37, MLO
656ff6983f96ad5aaf969152,1959,4,21655,1959.2877,317.72,315.41,318.09,315.77,317.72,315.41, MLO
656ff6983f96ad5aaf969153,1959,5,21685,1959.3699,318.29,315.46,318.68,315.85,318.29,315.46, MLO
656ff6983f96ad5aaf969154,1959,6,21716,1959.4548,318.15,316,318.07,315.94,318.15,316, MLO
656ff6983f96ad5aaf969155,1959,7,21746,1959.537,316.54,315.87,316.67,316.03,316.54,315.87, MLO
656ff6983f96ad5aaf969156,1959,8,21777,1959.6219,314.8,316.09,314.8,316.12,314.8,316.09, MLO
656ff6983f96ad5aaf969157,1959,9,21808,1959.7068,313.84,316.75,313.29,316.22,313.84,316.75, MLO
656ff6983f96ad5aaf969158,1959,10,21838,1959.789,313.33,316.34,313.31,316.31,313.33,316.34, MLO
656ff6983f96ad5aaf969159,1959,11,21869,1959.874,314.81,316.7,314.53,316.39,314.81,316.7, MLO
656ff6983f96ad5aaf96915a,1959,12,21899,1959.9562,315.58,316.35,315.72,316.47,315.58,316.35, MLO
656ff6983f96ad5aaf96915b,1960,1,21930,1960.041,316.43,316.37,316.62,316.56,316.43,316.37, MLO
656ff6983f96ad5aaf96915c,1960,2,21961,1960.1257,316.98,316.33,317.29,316.64,316.98,316.33, MLO
656ff6983f96ad5aaf96915d,1960,3,21990,1960.2049,317.58,316.27,318.03,316.71,317.58,316.27, MLO
656ff6983f96ad5aaf96915e,1960,4,22021,1960.2896,319.03,316.7,319.14,316.79,319.03,316.7, MLO
656ff6983f96ad5aaf96915f,1960,5,22051,1960.3716,320.03,317.19,319.7,316.86,320.03,317.19, MLO
